종목명,자격구분,주무부처
전자계산기조작기능사2급,국가기술자격,고용노동부
고압가스화학기능사2급,국가기술자격,산업자원부
발전설비기능사2급,국가기술자격,산업자원부
전기기기(1)기능사2급,국가기술자격,고용노동부
전기기기(2)기능사2급,국가기술자격,고용노동부
유리시공기능사,국가기술자격,국토교통부
실내건축기능사,국가기술자격,국토교통부
온돌기능사2급,국가기술자격,건설교통부
온수온돌기능사,국가기술자격,국토교통부
구들온돌기능사2급,국가기술자격,건설교통부
거푸집기능사,국가기술자격,국토교통부
비계기능사,국가기술자격,국토교통부
비파괴검사기능사2급,국가기술자격,과학기술정보통신부
귀금속가공기능사,국가기술자격,고용노동부
방사선비파괴검사기능사,국가기술자격,과학기술정보통신부
항공사진기능사,국가기술자격,국토교통부
광학기능사,국가기술자격,산업통상자원부
지도제작기능사,국가기술자격,국토교통부
초음파비파괴검사기능사,국가기술자격,과학기술정보통신부
수편기능사2급,국가기술자격,고용노동부
수자수기능사2급,국가기술자격,고용노동부
기계자수기능사2급,국가기술자격,고용노동부
나전칠기기능사2급,국가기술자격,고용노동부
펄프제지기능사,국가기술자격,산림청
목질재료기능사,국가기술자격,산림청
건설재료시험기능사,국가기술자격,국토교통부
가구제작기능사,국가기술자격,국토교통부
유선설비기능사2급,국가기술자격,과학기술정보통신부
금속도장기능사,국가기술자격,고용노동부
전신전화기기기능사2급,국가기술자격,정보통신부
기편기능사2급,국가기술자격,고용노동부
광산차량기계운전기능사,국가기술자격,지식경제부
광산환경기능사,국가기술자격,지식경제부
선체가공기능사2급,국가기술자격,고용노동부
스크레이퍼운전기능사,국가기술자격,건설교통부
농업기계기능사보,국가기술자격,농촌진흥청
채소재배기능사,국가기술자격,농촌진흥청
과수재배기능사,국가기술자격,농촌진흥청
제과기능사,국가기술자격,식품의약품안전처
제빵기능사,국가기술자격,식품의약품안전처
송배전설비기능사2급,국가기술자격,산업자원부
가구도장기능사,국가기술자격,고용노동부
광고도장기능사,국가기술자격,고용노동부
보석가공기능사,국가기술자격,고용노동부
화훼재배기능사,국가기술자격,농촌진흥청
조경기능사,국가기술자격,국토교통부
계량기능사2급(2류),국가기술자격,중소벤처기업부
계량기능사2급(3류),국가기술자격,중소벤처기업부
계량기능사2급(4류),국가기술자격,중소벤처기업부
도화기능사,국가기술자격,국토교통부
보석감정사,국가기술자격,고용노동부
변전설비기능사2급,국가기술자격,산업자원부
지게차운전기능사,국가기술자격,국토교통부
기어절삭기능사보,국가기술자격,고용노동부
양장재단기능사2급,국가기술자격,고용노동부
롤러운전기능사,국가기술자격,국토교통부
모터그레이더운전기능사,국가기술자격,국토교통부
양장봉재기능사2급,국가기술자격,고용노동부
양화장치운전기능사,국가기술자격,해양수산부
승강기기능사,국가기술자격,행정안전부
세탁기능사,국가기술자격,보건복지부
화약취급기능사,국가기술자격,경찰청
정보통신설비기능사2급,국가기술자격,정보통신부
아스팔트피니셔운전기능사,국가기술자격,국토교통부
쇄석기운전기능사,국가기술자격,건설교통부
수산양식기능사,국가기술자격,해양수산부
로더운전기능사,국가기술자격,국토교통부
목공예기능사,국가기술자격,산림청
직기보전기능사2급,국가기술자격,고용노동부
축산기능사,국가기술자격,농림축산식품부
식육처리기능사,국가기술자격,농림축산식품부
버섯종균기능사,국가기술자격,농촌진흥청
자동차검사기능사,국가기술자격,국토해양부
기중기운전기능사,국가기술자격,국토교통부
굴착기운전기능사,국가기술자격,국토교통부
불도저운전기능사,국가기술자격,국토교통부
산림기능사,국가기술자격,산림청
식물보호기능사2급,국가기술자격,농촌진흥청
농예화학기능사2급,국가기술자격,농촌진흥청
목재가공기능사,국가기술자격,산림청
수산식품가공기능사,국가기술자격,보건복지부
열관리기능사,국가기술자격,산업자원부
계량기능사2급(5류),국가기술자격,중소벤처기업부
계량기능사2급(6류),국가기술자격,중소벤처기업부
계량기능사2급(7류),국가기술자격,중소벤처기업부
계량기능사2급(8류),국가기술자격,중소벤처기업부
계량기능사2급(9류),국가기술자격,중소벤처기업부
계량기능사2급(10류),국가기술자격,중소벤처기업부
계량기능사2급(11류),국가기술자격,중소벤처기업부
계량기능사2급(12류),국가기술자격,중소벤처기업부
계량기능사2급(13류),국가기술자격,중소벤처기업부
잠수기능사,국가기술자격,해양수산부
종자기능사,국가기술자격,농촌진흥청
어간유제조기능사2급,국가기술자격,해양수산부
한천제조기능사2급,국가기술자격,해양수산부
계량기능사2급(14류),국가기술자격,중소벤처기업부
계량기능사2급(15류),국가기술자격,중소벤처기업부
계량기계기능사,국가기술자격,지식경제부
계량물리기능사,국가기술자격,지식경제부
계량전기기능사,국가기술자격,지식경제부
계량기능사2급(1류),국가기술자격,중소벤처기업부
축산식품가공기능사,국가기술자격,보건복지부
스크린인쇄기능사,국가기술자격,고용노동부
지적기능사,국가기술자격,국토교통부
지적기능사2급,국가기술자격,행정안전부
임업종묘기능사,국가기술자격,산림청
철근기능사,국가기술자격,국토교통부
철골기능사2급,국가기술자격,고용노동부
창호제작기능사2급,국가기술자격,국토교통부
통조림제조기능사2급,국가기술자격,보건복지부
전자조판기능사,국가기술자격,고용노동부
유선통신설비기능사2급,국가기술자격,고용노동부
축소사진기능사,국가기술자격,고용노동부
상업사진기능사2급,국가기술자격,고용노동부
보도사진기능사2급,국가기술자격,고용노동부
사진기능사,국가기술자격,고용노동부
컴퓨터그래픽스운용기능사,국가기술자격,산업통상자원부
사진제판기능사,국가기술자격,고용노동부
기계가공기능사2급,국가기술자격,고용노동부
기계가공조립기능사,국가기술자격,고용노동부
공조냉동기계기능사,국가기술자격,산업통상자원부
고압가스취급기능사2급,국가기술자격,산업자원부
가스기능사,국가기술자격,산업통상자원부
직업상담사2급,국가기술자격,고용노동부
사회조사분석사1급,국가기술자격,통계청
사회조사분석사2급,국가기술자격,통계청
세라믹기능사1급,국가기술자격,고용노동부
고분자제품제조기능사1급,국가기술자격,고용노동부
무선설비기능사1급,국가기술자격,정보통신부
지하수기능사1급,국가기술자격,고용노동부
섬유기계기능사1급,국가기술자격,고용노동부
선반기능사,국가기술자격,고용노동부
산업기계정비기능사1급,국가기술자격,고용노동부
발전기계설비기능사1급,국가기술자격,고용노동부
냉동식품제조기능사1급,국가기술자격,해양수산부
수치제어선반기능사,국가기술자격,고용노동부
도자기공예기능사1급,국가기술자격,고용노동부
고압합성기능사1급,국가기술자격,고용노동부
유기합성기능사1급,국가기술자격,고용노동부
섬유제도디자인기능사1급,국가기술자격,고용노동부
인판공예기능사1급,국가기술자격,고용노동부
문선식자기능사1급,국가기술자격,고용노동부
중기검사기능사1급,국가기술자격,건설교통부
전기기기기능사1급,국가기술자격,고용노동부
교환설비기능사1급,국가기술자격,정보통신부
피아노조율기능사1급,국가기술자격,고용노동부
시설원예기능사보,국가기술자격,농촌진흥청
산림기능사1급,국가기술자격,산림청
식물보호산업기사,국가기술자격,농촌진흥청
유선통신선로기능사1급,국가기술자격,정보통신부
어로기능사1급,국가기술자격,해양수산부
제화제갑기능사보,국가기술자격,고용노동부
잠수기능사1급,국가기술자격,해양수산부
임업종묘기능사1급,국가기술자격,산림청
